Distancia_Real_CM,Valor_Kinect_Raw
50,410.3568702383644
55,464.4793333333333
60,510.91641666666675
65,559.7692499999999
70,596.8990833333332
75,628.5900833333333
80,658.3511666666666
85,684.7330833333333
90,708.3704166666668
95,726.8938333333334
100,744.672
105,761.3869166666667
110,776.5380833333334
115,789.4653333333333
120,801.3165833333333
125,813.1308333333333
